Numero_Apogee,Prenom,Nom,Email,Genre,Age,Region,Universite,Diplome,Specialite,Annee_Etude,Note_Bac,Moyenne_Semestre_Precedent,GPA_Cumule,Nombre_Cours_Suivis,Nombre_Absences,Taux_Presence_Cours,Nombre_Travaux_Soumis,Nombre_Participations_Cours,Nombre_Visites_Bibliotheque_Mois,Heures_Etude_Hebdo,Acces_Internet,Ordinateur_Personnel,Acces_Ressources_Numeriques,Connexion_Plateforme_ELearning_Jour,Situation_Financiere,Emploi_Etudiant,Heures_Travail_Semaine,Tutorat_Suivi,Consultation_Professeur_Mois,Participation_Groupes_Etude,Niveau_Stress,Heures_Sommeil_Nuit,Activites_Sportives,Parent_Universitaire,Fratrie_Etudiant_Universite,Note_Mathematiques,Note_Sciences,Note_Theorie,Note_Pratique_TP,Note_Projets,Score_Participation_Classe,Score_Qualite_Travaux,Score_Comprehension_Concepts,Competence_Communication,Competence_Travail_Equipe,Competence_Probleme_Resolution,Competence_Gestion_Temps,Langue_Principale,Niveau_Francais,Niveau_Anglais,Motivation_Etudes,Interet_Specialite,Niveau_Competence_Academique,Score_Competence_Numerique
3612945,Rania,Benchamsi,rania.benchamsi@uh2c.ac.ma,F,21,Rabat-Sale-Kenitra,Université Hassan II,Master,Economie,1,14.22,9.15,11.3,11,23,81.36,3,14,29,15.3,0,0,1,4,Bon,1,22,0,0,1,3,8.43,1,0,0,11.83,15.17,8.89,12.76,14.26,4,3,1,4,1,5,1,Francais,Basique,Avance,2,1,Excellent,79.68
3737745,Youssef,Hassan,youssef.hassan@um5.ac.ma,M,29,Fez-Meknes,Université Mohammed V,Licence,Biologie,1,12.4,10.49,10.11,14,0,68.09,15,9,18,11.43,1,1,0,0,Bon,0,0,0,0,1,2,7.55,0,1,1,8.29,11.9,10.54,11.71,12.12,4,4,1,4,3,4,2,Francais,Basique,Avance,9,5,Excellent,81.75
3453737,Layla,Imadeddine,layla.imadeddine@uae.ac.ma,F,18,Draa-Tafilat,Université Abdelmalek Essaadi,Master,Physique,4,12.55,13.05,9.66,10,8,84.44,15,19,22,13.61,1,0,0,0,Faible,1,23,1,3,0,8,9.61,1,1,0,13.77,13.67,10.58,9.6,9.54,5,3,4,5,3,3,4,Francais,Intermediaire,Intermediaire,4,2,Excellent,84.26
3651121,Abdelhaq,Fakhri,abdelhaq.fakhri@uae.ac.ma,M,27,Rabat-Sale-Kenitra,Université Abdelmalek Essaadi,Licence,Chimie,3,9.04,5.24,10.11,8,11,90.38,3,9,0,12.35,0,1,0,0,Bon,0,0,1,5,0,8,7.19,1,1,1,12.28,10.72,12.2,18.77,14.76,4,1,1,4,4,1,5,Amazigh,Avance,Basique,3,3,Excellent,81.64
3421214,Leila,Houbiche,leila.houbiche@um5.ac.ma,F,27,Laayoune-Sakia-Hamra,Université Mohammed V,Licence,Ingenierie,1,12.89,13.61,9.08,8,8,75.95,11,2,5,16.3,0,0,0,1,Faible,1,19,1,3,1,5,6.67,0,0,1,10.75,8.0,7.11,13.3,17.19,5,2,4,1,5,2,2,Francais,Basique,Basique,1,3,Excellent,80.85
3554014,Nadia,Humes,nadia.humes@usmba.ac.ma,F,29,Souss-Massa,Université Sidi Mohamed Ben Abdellah,Diplome,Biologie,1,17.25,13.29,9.47,6,7,66.15,11,18,18,22.53,0,1,0,1,Moyen,1,21,1,2,0,7,5.84,0,1,1,9.39,10.29,12.94,13.41,13.59,4,4,3,4,5,1,4,Arabe,Intermediaire,Intermediaire,6,2,Excellent,78.36
3314446,Jihane,Saidi,jihane.saidi@uae.ac.ma,F,22,Guelmim-Oued-Noun,Université Abdelmalek Essaadi,Licence,Biologie,4,11.56,14.11,13.4,5,20,98.08,10,7,22,5.29,0,1,0,4,Moyen,1,25,0,1,0,8,5.82,0,0,1,14.27,11.48,10.64,9.01,9.13,4,5,2,4,2,5,5,Amazigh,Basique,Basique,5,7,Excellent,86.51
3900929,Jihane,Hudak,jihane.hudak@um5.ac.ma,F,26,Beni-Mellal-Khenifra,Université Mohammed V,Master,IA,2,13.48,12.22,11.81,8,18,76.62,7,7,27,20.77,1,0,1,5,Moyen,1,9,1,3,0,8,7.76,1,0,1,11.66,17.84,15.36,13.67,12.66,2,1,4,3,3,5,4,Amazigh,Basique,Intermediaire,9,7,Excellent,82.3
3275446,Safiya,Imran,safiya.imran@uh2c.ac.ma,F,29,Rabat-Sale-Kenitra,Université Hassan II,Licence,Informatique,3,14.25,12.6,12.42,10,13,65.52,3,7,16,26.6,1,0,0,1,Faible,1,8,1,4,0,8,5.8,0,0,1,9.84,9.96,8.29,6.43,10.09,5,2,1,4,3,5,3,Amazigh,Intermediaire,Avance,5,8,Excellent,83.12
3820112,Laila,Ifrah,laila.ifrah@usmba.ac.ma,F,30,Casablanca-Settat,Université Sidi Mohamed Ben Abdellah,Diplome,Economie,3,16.3,15.19,11.95,8,19,85.53,13,11,7,19.26,0,1,0,5,Faible,1,14,0,2,1,1,4.86,0,1,1,9.66,12.47,9.64,14.52,15.26,3,5,5,3,2,3,4,Francais,Avance,Intermediaire,2,8,Excellent,80.76
3230592,Ali,Hersi,ali.hersi@uae.ac.ma,M,25,Souss-Massa,Université Abdelmalek Essaadi,Diplome,Biologie,4,8,14.61,10.37,6,21,60.0,4,15,0,6.77,1,0,0,5,Moyen,0,0,1,5,1,2,3.8,0,0,0,10.83,15.79,16.64,15.59,14.67,5,4,5,2,4,1,4,Amazigh,Intermediaire,Intermediaire,1,6,Excellent,81.53
3990227,Samir,Imaidi,samir.imaidi@uaq.ac.ma,M,25,Fez-Meknes,Université Al Quaraouiyine,Diplome,Chimie,1,14.84,13.19,13.57,5,25,66.67,6,7,4,12.48,0,0,0,4,Faible,1,6,0,2,0,1,6.26,0,1,0,20,17.14,15.34,13.91,14.58,2,5,3,1,2,3,1,Arabe,Avance,Intermediaire,9,2,Excellent,87.28
3603248,Noureddine,Iman,noureddine.iman@uca.ac.ma,M,24,Beni-Mellal-Khenifra,Université Cadi Ayyad,Diplome,Mathematiques,4,13.88,11.37,10.3,6,10,70.37,10,4,2,16.96,0,1,1,3,Bon,1,19,1,3,1,2,5.42,0,0,1,9.94,13.15,9.75,14.8,11.34,4,3,3,3,2,4,1,Arabe,Basique,Basique,7,2,Excellent,78.11
3469727,Zahra,Azzouz,zahra.azzouz@uh2c.ac.ma,F,19,Laayoune-Sakia-Hamra,Université Hassan II,Diplome,Chimie,2,17.71,11.33,12.06,15,15,55.32,4,3,11,12.58,1,0,1,4,Faible,1,16,1,4,0,5,8.18,1,1,1,12.43,18.55,11.73,9.22,11.27,2,1,1,5,2,4,4,Francais,Intermediaire,Basique,6,5,Excellent,88.34
3387436,Karim,Zahra,karim.zahra@um5.ac.ma,F,21,Guelmim-Oued-Noun,Université Mohammed V,Licence,IA,4,18.17,14.89,13.84,14,15,97.78,9,9,1,13.57,0,1,0,0,Faible,1,24,1,1,0,5,8.45,1,1,0,16.97,12.74,12.82,14.62,11.49,3,1,4,1,4,1,4,Arabe,Intermediaire,Avance,7,7,Excellent,92.92
3718476,Salma,Elmi,salma.elmi@usmba.ac.ma,F,24,Guelmim-Oued-Noun,Université Sidi Mohamed Ben Abdellah,Licence,Digital,3,16.64,10.45,8.68,10,7,68.35,6,5,2,15.81,0,0,1,2,Bon,1,16,0,1,0,3,6.97,0,0,0,13.85,16.52,10.23,8.23,13.37,5,4,5,5,3,3,2,Francais,Basique,Intermediaire,8,5,Bon,74.17
3504159,Karim,Azzouz,karim.azzouz@uca.ac.ma,F,25,Laayoune-Sakia-Hamra,Université Cadi Ayyad,Diplome,Informatique,4,13.88,14.74,9.35,8,10,66.67,10,15,16,27.38,0,0,1,0,Moyen,0,0,0,4,0,1,5.94,0,1,1,7.93,11.88,7.1,17.06,8.56,5,1,3,1,3,1,5,Amazigh,Intermediaire,Intermediaire,5,3,Excellent,81.03
3931117,Leila,Gharib,leila.gharib@uca.ac.ma,F,23,Marrakech-Safi,Université Cadi Ayyad,Diplome,Droit,1,12.38,14.26,14.3,15,21,67.69,7,16,11,24.5,0,1,1,1,Faible,0,0,1,3,0,4,7.87,1,0,0,12.0,9.28,6.28,9.02,9.77,2,2,2,5,2,4,1,Francais,Intermediaire,Avance,4,8,Excellent,95.17
3628335,Rana,Iman,rana.iman@uaq.ac.ma,F,26,Beni-Mellal-Khenifra,Université Al Quaraouiyine,Licence,Chimie,2,13.45,12.57,9.4,12,27,64.29,6,17,29,18.79,0,0,1,0,Faible,1,19,1,3,0,7,6.65,0,0,1,17.19,7.91,8.91,13.54,10.42,1,3,2,1,3,1,3,Arabe,Basique,Basique,5,8,Excellent,76.93
3544814,Nasir,Imanuel,nasir.imanuel@usmba.ac.ma,M,19,Rabat-Sale-Kenitra,Université Sidi Mohamed Ben Abdellah,Licence,Biologie,1,9.12,10.74,13.26,5,7,100,7,20,25,4.91,1,0,0,3,Bon,0,0,0,5,0,3,6.98,1,0,1,12.16,14.21,15.62,9.19,12.08,5,5,5,5,5,1,4,Francais,Basique,Avance,7,6,Excellent,87.12
3673536,Rana,Benchamsi,rana.benchamsi@uca.ac.ma,F,23,Marrakech-Safi,Université Cadi Ayyad,Diplome,Economie,4,11.32,8.91,12.05,6,22,71.25,13,14,1,22.35,1,0,0,1,Faible,1,9,1,2,1,9,4.98,1,1,0,12.04,10.55,8.25,16.09,14.29,1,3,4,4,4,4,3,Arabe,Intermediaire,Avance,8,6,Excellent,84.47
3568576,Leila,Ilyass,leila.ilyass@um5.ac.ma,F,27,Beni-Mellal-Khenifra,Université Mohammed V,Licence,Economie,3,8,13.85,9.82,12,1,93.24,12,11,19,24.64,1,1,0,0,Bon,1,15,1,2,0,1,8.28,1,0,0,15.21,17.25,13.64,10.03,14.69,5,1,5,2,4,3,3,Francais,Basique,Avance,3,9,Excellent,79.41
3839237,Rania,Husain,rania.husain@uae.ac.ma,F,25,Tanger-Asifa,Université Abdelmalek Essaadi,Diplome,Biologie,4,20,12.42,10.36,6,14,100,3,14,2,8.07,1,1,0,4,Bon,0,0,1,2,0,3,7.77,1,0,0,17.29,12.0,11.79,15.49,9.99,4,5,2,5,1,1,3,Francais,Avance,Avance,8,9,Excellent,81.16
3628290,Zohra,Bennis,zohra.bennis@uaq.ac.ma,F,18,Fez-Meknes,Université Al Quaraouiyine,Diplome,Physique,3,18.24,10.69,14.0,7,5,79.71,6,7,11,13.27,1,0,1,1,Bon,1,9,1,1,1,9,8.79,0,0,1,14.38,14.62,8.27,12.33,11.86,1,5,3,2,5,4,5,Amazigh,Basique,Intermediaire,9,5,Excellent,90.74
3428766,Insaf,Houbiche,insaf.houbiche@uae.ac.ma,F,29,Souss-Massa,Université Abdelmalek Essaadi,Diplome,IA,4,15.84,13.64,9.22,13,3,50,6,7,14,18.96,0,1,1,1,Faible,1,11,0,0,1,7,8.06,1,0,0,14.71,6.06,11.15,10.09,17.87,4,4,3,4,1,1,4,Amazigh,Intermediaire,Basique,4,6,Excellent,80.83
3863847,Ahmed,Humes,ahmed.humes@usmba.ac.ma,M,23,Beni-Mellal-Khenifra,Université Sidi Mohamed Ben Abdellah,Master,Informatique,4,9.28,14.18,18.49,5,18,70.0,9,6,11,7.26,1,0,1,4,Moyen,1,22,1,4,0,3,8.48,1,1,0,11.53,13.63,14.9,11.09,12.5,2,3,4,5,4,2,5,Amazigh,Basique,Intermediaire,6,3,Excellent,85.93
3807537,Nadia,Hunaidi,nadia.hunaidi@uh2c.ac.ma,F,19,Beni-Mellal-Khenifra,Université Hassan II,Diplome,Biologie,1,18.82,10.39,9.08,15,25,76.06,13,18,18,13.49,0,0,1,1,Bon,0,0,1,1,0,1,6.33,0,0,0,9.09,13.63,9.77,13.05,8.38,4,1,2,5,2,5,3,Amazigh,Intermediaire,Avance,7,6,Excellent,76.26
3413071,Samir,Husayn,samir.husayn@uh2c.ac.ma,M,30,Rabat-Sale-Kenitra,Université Hassan II,Diplome,Chimie,4,10.86,11.36,11.46,10,15,58.93,6,17,29,24.54,1,1,0,4,Bon,1,11,1,3,1,3,6.69,0,1,1,14.39,9.73,7.37,13.26,17.98,3,5,3,2,1,5,5,Arabe,Basique,Basique,9,4,Excellent,80.73
3601641,Ahmed,Ettefagh,ahmed.ettefagh@usmba.ac.ma,M,28,Tanger-Asifa,Université Sidi Mohamed Ben Abdellah,Master,IA,3,16.97,8.68,10.13,6,20,56.25,10,7,17,23.85,0,0,1,1,Faible,0,0,1,3,0,5,4.4,0,0,1,10.7,11.91,13.94,11.74,16.25,4,2,5,4,3,2,1,Francais,Basique,Avance,8,5,Excellent,83.95
3294757,Mohamed,Husayn,mohamed.husayn@uca.ac.ma,M,20,Draa-Tafilat,Université Cadi Ayyad,Master,Chimie,1,9.4,13.93,11.29,9,12,93.67,4,14,24,10.13,1,1,1,4,Bon,1,18,0,2,1,4,7.7,1,0,1,12.57,9.84,5.25,15.92,9.17,1,3,3,5,2,2,2,Francais,Basique,Intermediaire,6,7,Excellent,87.82
3165758,Imane,Helaoui,imane.helaoui@uaq.ac.ma,F,26,Guelmim-Oued-Noun,Université Al Quaraouiyine,Licence,Ingenierie,2,10.34,14.51,10.07,12,3,50,11,6,22,6.53,1,0,1,0,Moyen,1,7,0,4,1,8,9.53,0,1,1,11.5,9.53,13.51,7.46,11.69,3,1,5,1,1,4,1,Francais,Intermediaire,Basique,3,7,Excellent,78.91
3655531,Rania,Iman,rania.iman@usmba.ac.ma,F,20,Tanger-Asifa,Université Sidi Mohamed Ben Abdellah,Licence,Informatique,3,10.77,14.8,11.14,12,21,71.62,12,17,13,22.47,1,0,0,3,Moyen,0,0,0,2,0,2,9.16,0,0,0,12.89,16.17,13.15,7.77,13.98,1,2,1,4,4,2,5,Arabe,Basique,Basique,9,5,Excellent,88.12
3389519,Khalid,Husain,khalid.husain@uh2c.ac.ma,M,18,Guelmim-Oued-Noun,Université Hassan II,Diplome,Physique,4,11.41,11.27,8.45,10,30,81.82,11,12,25,13.76,1,1,1,1,Moyen,0,0,1,1,1,4,6.84,0,1,0,14.29,6.25,5,9.0,10.99,2,3,2,3,1,4,3,Arabe,Avance,Avance,4,1,Excellent,81.2
3117078,Rania,Regaig,rania.regaig@um5.ac.ma,F,21,Tanger-Asifa,Université Mohammed V,Diplome,Mathematiques,4,15.92,10.35,11.03,8,22,69.33,10,6,12,25.97,0,1,1,3,Moyen,0,0,1,2,1,6,5.25,0,1,1,11.72,14.98,10.02,8.69,14.49,2,2,1,3,5,5,5,Amazigh,Intermediaire,Intermediaire,3,4,Excellent,89.96
3278487,Yasmine,Idrissi,yasmine.idrissi@uh2c.ac.ma,F,20,Guelmim-Oued-Noun,Université Hassan II,Master,Physique,1,10.94,7.28,12.97,6,30,67.21,14,1,24,14.4,0,1,0,5,Faible,1,19,0,5,0,1,6.57,0,1,1,15.97,14.09,17.56,9.33,12.21,5,5,4,1,1,5,3,Amazigh,Intermediaire,Basique,9,7,Excellent,88.38
3693447,Omar,Ettefagh,omar.ettefagh@uh2c.ac.ma,M,21,Tanger-Asifa,Université Hassan II,Master,Mathematiques,1,15.16,13.83,11.13,6,12,71.43,7,12,17,18.68,1,0,0,5,Faible,1,13,0,3,1,6,4.29,0,0,0,9.62,13.95,17.36,14.59,10.29,1,1,3,5,5,1,2,Francais,Basique,Basique,3,7,Excellent,82.7
3882667,Adil,Ghouti,adil.ghouti@uh2c.ac.ma,M,23,Casablanca-Settat,Université Hassan II,Licence,Digital,2,19.68,13.21,11.78,14,30,83.78,10,12,24,9.23,1,0,1,3,Moyen,0,0,0,2,1,7,5.84,0,1,0,12.35,10.01,11.53,13.17,12.17,2,4,3,3,1,1,1,Francais,Intermediaire,Intermediaire,5,2,Excellent,83.7
3923543,Hassan,Harami,hassan.harami@usmba.ac.ma,M,23,Beni-Mellal-Khenifra,Université Sidi Mohamed Ben Abdellah,Licence,Biologie,4,10.38,10.87,13.93,11,24,71.74,2,17,28,17.81,0,0,1,1,Faible,0,0,1,2,1,8,7.55,1,1,1,13.44,11.31,11.62,11.98,14.76,4,5,5,2,4,1,2,Francais,Basique,Intermediaire,6,7,Excellent,82.68
3287266,Layla,Husami,layla.husami@usmba.ac.ma,F,24,Souss-Massa,Université Sidi Mohamed Ben Abdellah,Master,Economie,2,8.55,11.07,13.48,11,11,60.42,2,18,6,12.03,0,0,1,5,Faible,0,0,1,2,0,7,8.08,1,0,1,12.22,16.89,10.35,6.83,20,4,5,4,5,5,4,5,Arabe,Intermediaire,Avance,9,2,Excellent,91.67
3884132,Youssef,Huskier,youssef.huskier@uaq.ac.ma,M,26,Guelmim-Oued-Noun,Université Al Quaraouiyine,Diplome,Ingenierie,2,13.46,13.03,14.93,12,11,69.23,7,14,24,13.32,0,1,0,3,Faible,1,18,1,3,0,2,8.19,1,1,1,7.76,10.54,12.07,8.61,12.87,4,4,3,1,3,1,1,Arabe,Intermediaire,Avance,2,3,Excellent,88.25
3515798,Fouad,Hanania,fouad.hanania@uh2c.ac.ma,M,18,Laayoune-Sakia-Hamra,Université Hassan II,Licence,Economie,4,17.25,9.01,13.21,8,8,56.52,13,2,18,15.81,0,0,1,2,Faible,0,0,1,0,1,8,8.51,1,1,1,9.63,11.06,13.85,8.57,14.33,3,5,5,1,2,3,1,Arabe,Intermediaire,Basique,3,6,Excellent,87.93
3248111,Fouad,Ifrah,fouad.ifrah@usmba.ac.ma,M,20,Souss-Massa,Université Sidi Mohamed Ben Abdellah,Master,Ingenierie,1,10.77,11.02,7.9,10,30,74.51,1,15,4,9.79,0,1,1,3,Bon,1,25,1,3,1,8,7.96,0,1,0,15.36,11.92,15.18,13.63,15.39,4,5,5,1,5,1,3,Amazigh,Intermediaire,Avance,1,8,Bon,73.79
3914308,Rashid,Douiri,rashid.douiri@uae.ac.ma,M,30,Tanger-Asifa,Université Abdelmalek Essaadi,Licence,Ingenierie,3,9.62,14.21,13.51,11,5,78.57,10,4,25,8.84,0,0,0,4,Moyen,0,0,1,4,0,6,5.42,1,1,1,15.45,11.44,15.96,8.76,15.79,4,1,3,2,2,2,2,Amazigh,Intermediaire,Basique,7,8,Excellent,89.86
3711224,Bilal,Hudak,bilal.hudak@uae.ac.ma,M,18,Fez-Meknes,Université Abdelmalek Essaadi,Diplome,Economie,3,11.18,12.81,14.63,6,25,55.56,9,12,6,18.94,1,0,1,2,Moyen,1,21,1,2,0,8,7.76,0,0,0,5.83,8.49,7.43,18.87,13.21,2,4,4,1,4,2,2,Amazigh,Intermediaire,Basique,5,2,Excellent,85.09
3838880,Amina,Zahra,amina.zahra@uca.ac.ma,F,19,Casablanca-Settat,Université Cadi Ayyad,Licence,Economie,1,10.27,13.2,9.65,15,14,98.46,1,0,22,7.07,1,0,1,5,Faible,0,0,1,0,0,7,7.8,0,0,0,9.6,18.21,14.87,15.92,12.53,2,1,5,5,1,5,2,Francais,Intermediaire,Avance,4,3,Excellent,78.32
3776933,Nadia,Imaidi,nadia.imaidi@uaq.ac.ma,F,19,Tanger-Asifa,Université Al Quaraouiyine,Diplome,Ingenierie,3,15.18,10.18,10.16,5,27,50,14,9,6,16.67,0,1,1,5,Faible,1,16,0,3,1,2,7.12,0,0,1,16.27,13.96,10.86,14.49,9.52,3,5,2,4,1,1,5,Arabe,Basique,Intermediaire,4,1,Excellent,80.6
3425960,Aziz,Inani,aziz.inani@uca.ac.ma,M,19,Guelmim-Oued-Noun,Université Cadi Ayyad,Licence,Physique,3,11.44,9.26,9.46,15,21,80.6,11,2,9,14.13,1,0,0,1,Faible,0,0,1,0,1,1,8.35,1,0,0,13.62,12.63,15.01,12.25,10.43,3,2,3,2,3,1,1,Francais,Intermediaire,Intermediaire,9,2,Excellent,79.9
3702790,Hanaa,Bennis,hanaa.bennis@usmba.ac.ma,F,28,Fez-Meknes,Université Sidi Mohamed Ben Abdellah,Licence,Droit,1,11.28,13.16,13.98,5,27,80.26,14,0,7,16.84,0,1,1,3,Faible,0,0,0,0,1,4,6.32,1,1,0,14.8,11.14,10.84,11.54,11.63,2,5,1,4,1,4,3,Francais,Intermediaire,Basique,9,8,Excellent,90.58
3258880,Jamal,Hassan,jamal.hassan@uca.ac.ma,M,18,Beni-Mellal-Khenifra,Université Cadi Ayyad,Licence,Chimie,3,13.0,9.47,9.54,5,30,65.45,6,0,24,5.87,1,1,0,1,Bon,1,11,0,3,1,1,5.26,0,1,0,14.09,13.09,13.25,9.44,15.13,1,5,1,5,2,4,1,Amazigh,Avance,Basique,7,3,Excellent,79.32
3918823,Adil,Housni,adil.housni@uca.ac.ma,M,30,Laayoune-Sakia-Hamra,Université Cadi Ayyad,Licence,Physique,1,16.68,12.76,9.81,7,14,56.67,8,10,13,11.87,0,1,0,3,Moyen,1,19,1,2,0,2,8.25,0,0,1,15.82,15.32,15.3,14.95,11.91,1,3,3,2,1,4,4,Amazigh,Avance,Avance,4,2,Excellent,79.12
3953227,Nour,Firdaous,nour.firdaous@um5.ac.ma,F,19,Casablanca-Settat,Université Mohammed V,Licence,Chimie,4,14.42,12.4,16.2,10,3,85.42,1,14,1,17.27,0,1,1,3,Faible,0,0,1,5,1,3,6.39,1,0,0,11.49,15.72,13.96,15.33,9.29,4,4,5,4,1,1,3,Francais,Basique,Intermediaire,4,9,Excellent,100
3435367,Walid,Benchamsi,walid.benchamsi@usmba.ac.ma,M,27,Tanger-Asifa,Université Sidi Mohamed Ben Abdellah,Licence,Biologie,1,14.56,13.02,9.08,12,16,76.06,6,18,7,8.53,0,0,0,5,Faible,1,23,1,4,0,4,3.2,1,1,0,8.09,14.3,15.09,13.6,8.15,5,1,3,5,5,2,5,Arabe,Intermediaire,Avance,5,3,Excellent,76.78
3852763,Aisha,Serfaty,aisha.serfaty@um5.ac.ma,F,20,Souss-Massa,Université Mohammed V,Licence,Informatique,2,16.1,7.23,11.69,6,27,77.14,9,11,30,30.65,0,1,1,4,Faible,0,0,1,2,1,3,5.27,0,1,1,10.9,11.0,16.03,11.1,17.26,2,5,2,4,3,3,2,Arabe,Avance,Basique,7,1,Excellent,87.66
3277042,Tariq,Husain,tariq.husain@uh2c.ac.ma,M,28,Fez-Meknes,Université Hassan II,Diplome,IA,4,14.7,19.08,9.6,5,8,59.15,4,7,22,23.89,0,1,1,0,Bon,0,0,0,0,1,8,6.57,1,1,1,5,10.77,13.84,14.51,7.85,5,2,2,4,1,1,3,Arabe,Intermediaire,Intermediaire,2,2,Excellent,83.87
